run;number_irrelevant_matches_round_6;number_partially_relevant_matches_round_6;number_highly_relevant_matches_round_6;number_qualifiers_decided_round_6;number_playoffs_decided_round_6;number_relegation_decided_round_6;number_undecided_round_6;number_irrelevant_matches_round_7;number_partially_relevant_matches_round_7;number_highly_relevant_matches_round_7;number_qualifiers_decided_round_7;number_playoffs_decided_round_7;number_relegation_decided_round_7;number_undecided_round_7;number_irrelevant_matches_round_8;number_partially_relevant_matches_round_8;number_highly_relevant_matches_round_8;number_qualifiers_decided_round_8;number_playoffs_decided_round_8;number_relegation_decided_round_8;number_undecided_round_8
59;0;0;18;0;0;0;36;0;1;17;0;0;1;35;1;5;12;1;2;4;29
60;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;10;6;3;6;5;22
61;0;0;18;0;0;0;36;0;2;16;0;0;2;34;0;14;4;6;5;3;22
62;0;0;18;0;0;0;36;0;2;16;0;0;2;34;0;6;12;2;1;3;30
63;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;8;10;4;0;4;28
64;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;9;8;4;0;7;25
65;0;0;18;0;0;0;36;0;2;16;2;0;0;34;1;9;8;5;4;2;25
66;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;7;10;0;5;4;27
67;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;5;11;4;2;3;27
68;0;0;18;0;0;0;36;0;2;16;1;0;1;34;3;7;8;7;0;6;23
69;0;0;18;0;0;0;36;0;2;16;0;0;2;34;1;7;10;3;3;3;27
70;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;7;11;4;2;1;29
71;0;0;18;0;0;0;36;1;1;16;3;0;0;33;3;11;4;5;7;5;19
72;0;0;18;0;0;0;36;0;0;18;0;0;0;36;4;6;8;3;5;6;22
73;0;0;18;0;0;0;36;0;1;17;1;0;0;35;0;5;13;2;0;3;31
74;0;0;18;0;0;0;36;0;2;16;0;0;2;34;2;9;7;4;3;6;23
75;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;5;13;1;0;4;31
76;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;6;11;3;3;2;28
77;0;0;18;0;0;0;36;0;0;18;0;0;0;36;3;8;7;5;3;6;22
78;0;0;18;0;0;0;36;0;1;17;1;0;0;35;0;4;14;1;0;3;32
79;0;0;18;0;0;0;36;0;0;18;0;0;0;36;4;7;7;5;3;7;21
80;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;6;10;1;7;2;26
81;0;0;18;0;0;0;36;0;1;17;0;0;1;35;2;8;8;5;0;7;24
82;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;4;13;0;0;6;30
83;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;4;13;1;0;5;30
84;0;0;18;0;0;0;36;0;2;16;1;0;1;34;0;8;10;4;1;3;28
85;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;8;9;3;0;7;26
86;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;6;12;2;2;2;30
87;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;9;9;1;4;4;27
88;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;8;8;5;0;7;24
89;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;6;11;2;2;4;28
90;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;4;12;0;3;5;28
91;0;0;18;0;0;0;36;0;1;17;0;0;1;35;1;5;12;1;2;4;29
92;0;0;18;0;0;0;36;0;0;18;0;0;0;36;3;4;11;2;4;4;26
93;0;0;18;0;0;0;36;0;0;18;0;0;0;36;0;7;11;5;0;2;29
94;0;0;18;0;0;0;36;0;1;17;0;0;1;35;0;5;13;0;3;2;31
95;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;7;10;2;1;6;27
96;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;6;11;3;1;4;28
97;0;0;18;0;0;0;36;0;0;18;0;0;0;36;2;7;9;2;5;4;25
98;0;0;18;0;0;0;36;0;0;18;0;0;0;36;1;4;13;4;0;2;30
99;0;0;18;0;0;0;36;0;1;17;0;0;1;35;2;4;12;3;2;3;28
