run,team,round,lowest,highest
1,Wolverhampton,38,16,14
2,Liverpool,34,14,3
2,Arsenal,34,4,2
2,Leicester,34,20,17
2,Man City,34,1,1
2,Everton,34,16,5
2,Fulham,34,20,16
2,Aston Villa,34,16,3
2,Tottenham,34,10,2
2,Chelsea,34,14,3
2,Newcastle United,34,11,2
2,Crystal Palace,34,16,3
2,Bournemouth,34,16,3
2,Nottingham Forest,34,18,7
2,Brighton,34,16,3
2,Ipswich,34,20,15
2,Man United,34,18,7
2,Brentford,34,17,6
2,West Ham United,34,17,5
2,Southampton,34,20,13
2,Wolverhampton,34,16,3
2,Liverpool,35,14,3
2,Arsenal,35,4,2
2,Leicester,35,20,17
2,Man City,35,1,1
2,Everton,35,16,5
2,Fulham,35,20,17
2,Aston Villa,35,15,5
2,Tottenham,35,7,2
