run,round,home_team,away_team
2,37,Everton,Bournemouth
2,37,Newcastle United,Crystal Palace
2,37,Tottenham,Chelsea
2,37,Nottingham Forest,Arsenal
2,37,Ipswich,Fulham
2,37,Brentford,Wolverhampton
2,37,Southampton,Man United
2,38,Arsenal,Wolverhampton
2,38,Fulham,Brentford
2,38,Man City,Ipswich
2,38,Chelsea,Nottingham Forest
2,38,Crystal Palace,Tottenham
2,38,Bournemouth,Newcastle United
2,38,Brighton,Everton
2,38,Man United,Aston Villa
2,38,West Ham United,Liverpool
2,38,Southampton,Leicester
3,34,Arsenal,Ipswich
3,34,Fulham,Everton
3,34,Man City,Nottingham Forest
3,34,Chelsea,Aston Villa
3,34,Crystal Palace,Southampton
3,34,Bournemouth,Liverpool
3,34,Brighton,West Ham United
3,34,Man United,Leicester
3,34,Brentford,Newcastle United
3,34,Wolverhampton,Tottenham
3,35,Leicester,Bournemouth
3,35,Liverpool,Arsenal
3,35,Aston Villa,Crystal Palace
3,35,Everton,Chelsea
3,35,Newcastle United,Man City
3,35,Tottenham,Fulham
3,35,Nottingham Forest,Wolverhampton
3,35,Ipswich,Brentford
3,35,West Ham United,Man United
3,35,Southampton,Brighton
3,36,Arsenal,Brentford
3,36,Fulham,Nottingham Forest
3,36,Man City,Tottenham
3,36,Chelsea,Newcastle United
3,36,Crystal Palace,Everton
3,36,Bournemouth,Aston Villa
3,36,Brighton,Leicester
3,36,Man United,Liverpool
3,36,West Ham United,Southampton
3,36,Wolverhampton,Ipswich
3,37,Leicester,West Ham United
3,37,Liverpool,Man City
3,37,Aston Villa,Brighton
3,37,Everton,Bournemouth
3,37,Newcastle United,Crystal Palace
3,37,Tottenham,Chelsea
3,37,Nottingham Forest,Arsenal
3,37,Ipswich,Fulham
3,37,Brentford,Wolverhampton
3,37,Southampton,Man United
3,38,Arsenal,Wolverhampton
3,38,Fulham,Brentford
3,38,Man City,Ipswich
3,38,Chelsea,Nottingham Forest
3,38,Crystal Palace,Tottenham
3,38,Bournemouth,Newcastle United
3,38,Brighton,Everton
3,38,Man United,Aston Villa
3,38,West Ham United,Liverpool
3,38,Southampton,Leicester
4,34,Arsenal,Ipswich
4,34,Fulham,Everton
4,34,Man City,Nottingham Forest
4,34,Chelsea,Aston Villa
4,34,Crystal Palace,Southampton
4,34,Bournemouth,Liverpool
4,34,Brighton,West Ham United
4,34,Man United,Leicester
4,34,Brentford,Newcastle United
4,34,Wolverhampton,Tottenham
4,35,Leicester,Bournemouth
4,35,Liverpool,Arsenal
4,35,Aston Villa,Crystal Palace
4,35,Everton,Chelsea
4,35,Newcastle United,Man City
4,35,Tottenham,Fulham
4,35,Nottingham Forest,Wolverhampton
4,35,Ipswich,Brentford
4,35,West Ham United,Man United
4,35,Southampton,Brighton
4,36,Arsenal,Brentford
4,36,Fulham,Nottingham Forest
4,36,Man City,Tottenham
4,36,Chelsea,Newcastle United
4,36,Crystal Palace,Everton
4,36,Bournemouth,Aston Villa
4,36,Brighton,Leicester
4,36,Man United,Liverpool
4,36,West Ham United,Southampton
4,36,Wolverhampton,Ipswich
4,37,Leicester,West Ham United
4,37,Liverpool,Man City
4,37,Aston Villa,Brighton
4,37,Everton,Bournemouth
4,37,Newcastle United,Crystal Palace
4,37,Tottenham,Chelsea
4,37,Nottingham Forest,Arsenal
4,37,Ipswich,Fulham
4,37,Brentford,Wolverhampton
4,37,Southampton,Man United
4,38,Arsenal,Wolverhampton
4,38,Fulham,Brentford
4,38,Man City,Ipswich
4,38,Chelsea,Nottingham Forest
4,38,Crystal Palace,Tottenham
4,38,Bournemouth,Newcastle United
4,38,Brighton,Everton
4,38,Man United,Aston Villa
4,38,West Ham United,Liverpool
4,38,Southampton,Leicester
5,34,Arsenal,Ipswich
5,34,Fulham,Everton
5,34,Man City,Nottingham Forest
5,34,Chelsea,Aston Villa
5,34,Crystal Palace,Southampton
5,34,Bournemouth,Liverpool
5,34,Brighton,West Ham United
5,34,Man United,Leicester
5,34,Brentford,Newcastle United
5,34,Wolverhampton,Tottenham
5,35,Leicester,Bournemouth
5,35,Liverpool,Arsenal
5,35,Aston Villa,Crystal Palace
5,35,Everton,Chelsea
5,35,Newcastle United,Man City
5,35,Tottenham,Fulham
5,35,Nottingham Forest,Wolverhampton
5,35,Ipswich,Brentford
5,35,West Ham United,Man United
5,35,Southampton,Brighton
5,36,Arsenal,Brentford
5,36,Fulham,Nottingham Forest
5,36,Man City,Tottenham
5,36,Chelsea,Newcastle United
5,36,Crystal Palace,Everton
5,36,Bournemouth,Aston Villa
5,36,Brighton,Leicester
5,36,Man United,Liverpool
5,36,West Ham United,Southampton
5,36,Wolverhampton,Ipswich
5,37,Leicester,West Ham United
5,37,Liverpool,Man City
5,37,Aston Villa,Brighton
5,37,Everton,Bournemouth
5,37,Newcastle United,Crystal Palace
5,37,Tottenham,Chelsea
5,37,Nottingham Forest,Arsenal
5,37,Ipswich,Fulham
5,37,Brentford,Wolverhampton
5,37,Southampton,Man United
5,38,Arsenal,Wolverhampton
5,38,Fulham,Brentford
5,38,Man City,Ipswich
5,38,Chelsea,Nottingham Forest
5,38,Crystal Palace,Tottenham
5,38,Bournemouth,Newcastle United
5,38,Brighton,Everton
5,38,Man United,Aston Villa
5,38,West Ham United,Liverpool
5,38,Southampton,Leicester
6,34,Arsenal,Ipswich
6,34,Fulham,Everton
6,34,Man City,Nottingham Forest
6,34,Chelsea,Aston Villa
6,34,Crystal Palace,Southampton
6,34,Bournemouth,Liverpool
6,34,Brighton,West Ham United
6,34,Man United,Leicester
6,34,Brentford,Newcastle United
6,34,Wolverhampton,Tottenham
6,35,Leicester,Bournemouth
