run,round,home_team,away_team
8,37,Tottenham,Brighton
8,37,Ipswich,Everton
8,37,Brentford,Man United
8,37,West Ham United,Leicester
8,37,Southampton,Nottingham Forest
8,38,Arsenal,Man City
8,38,Fulham,Crystal Palace
8,38,Aston Villa,Wolverhampton
8,38,Everton,West Ham United
8,38,Newcastle United,Chelsea
8,38,Bournemouth,Liverpool
8,38,Nottingham Forest,Leicester
8,38,Brighton,Man United
8,38,Brentford,Tottenham
8,38,Southampton,Ipswich
9,34,Leicester,Wolverhampton
9,34,Arsenal,Nottingham Forest
9,34,Everton,Liverpool
9,34,Newcastle United,Chelsea
9,34,Crystal Palace,Tottenham
9,34,Bournemouth,Man City
9,34,Brighton,Fulham
9,34,Ipswich,Aston Villa
9,34,Brentford,Man United
9,34,Southampton,West Ham United
9,35,Arsenal,Man City
9,35,Everton,Chelsea
9,35,Newcastle United,Man United
9,35,Tottenham,Aston Villa
9,35,Bournemouth,Liverpool
9,35,Nottingham Forest,Brighton
9,35,Ipswich,Brentford
9,35,West Ham United,Crystal Palace
9,35,Wolverhampton,Fulham
9,35,Southampton,Leicester
9,36,Arsenal,Aston Villa
9,36,Fulham,Crystal Palace
9,36,Everton,Wolverhampton
9,36,Chelsea,Liverpool
9,36,Tottenham,Newcastle United
9,36,Nottingham Forest,Leicester
9,36,Ipswich,Brighton
9,36,Man United,Bournemouth
9,36,West Ham United,Man City
9,36,Southampton,Brentford
9,37,Leicester,Brentford
9,37,Liverpool,Fulham
9,37,Aston Villa,Bournemouth
9,37,Everton,Southampton
9,37,Newcastle United,Arsenal
9,37,Crystal Palace,Chelsea
9,37,Tottenham,Man City
9,37,Nottingham Forest,Ipswich
9,37,Brighton,Wolverhampton
9,37,Man United,West Ham United
9,38,Arsenal,Tottenham
9,38,Liverpool,Crystal Palace
9,38,Man City,Newcastle United
9,38,Chelsea,Fulham
9,38,Bournemouth,West Ham United
9,38,Brighton,Everton
9,38,Ipswich,Leicester
9,38,Man United,Aston Villa
9,38,Brentford,Nottingham Forest
9,38,Wolverhampton,Southampton
10,34,Leicester,Arsenal
10,34,Liverpool,Nottingham Forest
10,34,Aston Villa,Crystal Palace
10,34,Chelsea,Man City
10,34,Newcastle United,Southampton
10,34,Tottenham,Brentford
10,34,Bournemouth,Man United
10,34,Brighton,Fulham
10,34,Ipswich,Everton
10,34,Wolverhampton,West Ham United
10,35,Arsenal,Tottenham
10,35,Liverpool,Aston Villa
10,35,Fulham,Ipswich
10,35,Man City,Man United
10,35,Everton,Nottingham Forest
10,35,Chelsea,Newcastle United
10,35,Bournemouth,Southampton
10,35,Brighton,Brentford
10,35,West Ham United,Crystal Palace
10,35,Wolverhampton,Leicester
10,36,Leicester,Fulham
10,36,Aston Villa,Nottingham Forest
10,36,Man City,West Ham United
10,36,Everton,Bournemouth
10,36,Crystal Palace,Arsenal
10,36,Tottenham,Liverpool
10,36,Ipswich,Brighton
10,36,Man United,Newcastle United
10,36,Brentford,Chelsea
10,36,Wolverhampton,Southampton
10,37,Liverpool,Man City
10,37,Everton,Leicester
10,37,Chelsea,Nottingham Forest
10,37,Newcastle United,Arsenal
10,37,Brighton,Bournemouth
10,37,Man United,Crystal Palace
10,37,Brentford,Aston Villa
10,37,West Ham United,Tottenham
10,37,Wolverhampton,Fulham
10,37,Southampton,Ipswich
10,38,Leicester,Bournemouth
10,38,Fulham,Southampton
10,38,Man City,Tottenham
10,38,Chelsea,Aston Villa
10,38,Newcastle United,Crystal Palace
10,38,Nottingham Forest,Brentford
10,38,Brighton,Everton
10,38,Ipswich,Wolverhampton
10,38,Man United,Arsenal
10,38,West Ham United,Liverpool
11,34,Liverpool,Brighton
11,34,Fulham,West Ham United
11,34,Aston Villa,Man City
11,34,Crystal Palace,Leicester
11,34,Tottenham,Bournemouth
11,34,Nottingham Forest,Newcastle United
11,34,Ipswich,Everton
11,34,Man United,Southampton
11,34,Brentford,Arsenal
11,34,Wolverhampton,Chelsea
11,35,Leicester,Fulham
11,35,Man City,West Ham United
11,35,Everton,Liverpool
11,35,Chelsea,Aston Villa
11,35,Newcastle United,Arsenal
11,35,Crystal Palace,Brentford
11,35,Tottenham,Man United
11,35,Bournemouth,Wolverhampton
11,35,Nottingham Forest,Brighton
11,35,Southampton,Ipswich
11,36,Arsenal,Tottenham
11,36,Liverpool,Man City
11,36,Fulham,Ipswich
11,36,Aston Villa,Newcastle United
11,36,Chelsea,Everton
11,36,Nottingham Forest,Leicester
11,36,Brighton,Bournemouth
11,36,West Ham United,Man United
11,36,Wolverhampton,Crystal Palace
11,36,Southampton,Brentford
