run,round,home_team,away_team
3,6,Sporting CP,AC Milan
3,6,PAOK,Feyenoord
3,6,AS Monaco,PSV
3,6,Maccabi Tel Aviv,Celtic
3,6,Bologna,Benfica
3,6,Girona,Aston Villa
3,7,Borussia Dortmund,Manchester City
3,7,Inter,PSV
3,7,Atletico Madrid,Sporting CP
3,7,Bayer Leverkusen,PSG
3,7,Atalanta,Shakhtar Donetsk
3,7,Juventus,Young Boys
3,7,Benfica,Leipzig
3,7,Club Brugge,Galatasaray
3,7,Feyenoord,Barcelona
3,7,AC Milan,Girona
3,7,Aston Villa,Celtic
3,7,PAOK,Stuttgart
3,7,Fenerbahçe,Real Madrid
3,7,AS Monaco,Liverpool
3,7,Maccabi Tel Aviv,Bayern Munich
3,7,Sparta Praha,Arsenal
3,7,Sturm Graz,Bologna
3,7,Stade Brestois,Lille
3,8,Real Madrid,Juventus
3,8,PSV,Sparta Praha
3,8,Manchester City,AC Milan
3,8,Bayern Munich,Benfica
3,8,Lille,Fenerbahçe
3,8,PSG,Club Brugge
3,8,Celtic,Inter
3,8,Liverpool,Aston Villa
3,8,Leipzig,Atalanta
3,8,Young Boys,Bayer Leverkusen
3,8,Barcelona,Stade Brestois
3,8,Arsenal,AS Monaco
3,8,Shakhtar Donetsk,Atletico Madrid
3,8,Sporting CP,Borussia Dortmund
3,8,Galatasaray,Feyenoord
3,8,Bologna,Maccabi Tel Aviv
3,8,Girona,PAOK
3,8,Stuttgart,Sturm Graz
