run,round,home_team,away_team
2,38,Man City,Ipswich
2,38,Chelsea,Nottingham Forest
2,38,Crystal Palace,Tottenham
2,38,Bournemouth,Newcastle United
2,38,Brighton,Everton
2,38,Man United,Aston Villa
2,38,West Ham United,Liverpool
2,38,Southampton,Leicester
3,34,Arsenal,Ipswich
3,34,Fulham,Newcastle United
3,34,Man City,Everton
3,34,Chelsea,Leicester
3,34,Crystal Palace,Aston Villa
3,34,Bournemouth,Liverpool
3,34,Brighton,Southampton
3,34,Man United,West Ham United
3,34,Brentford,Tottenham
3,34,Wolverhampton,Nottingham Forest
3,35,Leicester,Brighton
3,35,Liverpool,Man City
3,35,Aston Villa,Arsenal
3,35,Everton,Chelsea
3,35,Newcastle United,Crystal Palace
3,35,Tottenham,Wolverhampton
3,35,Nottingham Forest,Fulham
3,35,Ipswich,Brentford
3,35,West Ham United,Bournemouth
3,35,Southampton,Man United
3,36,Arsenal,Nottingham Forest
3,36,Fulham,Ipswich
3,36,Man City,Newcastle United
3,36,Chelsea,Tottenham
3,36,Crystal Palace,Southampton
3,36,Bournemouth,Everton
3,36,Brighton,Aston Villa
3,36,Man United,Liverpool
3,36,West Ham United,Leicester
3,36,Wolverhampton,Brentford
3,37,Leicester,Man United
3,37,Liverpool,Brighton
3,37,Aston Villa,Bournemouth
3,37,Everton,Crystal Palace
3,37,Newcastle United,Chelsea
3,37,Tottenham,Fulham
3,37,Nottingham Forest,Man City
3,37,Ipswich,Wolverhampton
3,37,Brentford,Arsenal
3,37,Southampton,West Ham United
3,38,Arsenal,Wolverhampton
3,38,Fulham,Brentford
3,38,Man City,Ipswich
3,38,Chelsea,Nottingham Forest
3,38,Crystal Palace,Tottenham
3,38,Bournemouth,Newcastle United
3,38,Brighton,Everton
3,38,Man United,Aston Villa
3,38,West Ham United,Liverpool
3,38,Southampton,Leicester
4,34,Arsenal,Ipswich
4,34,Fulham,Newcastle United
4,34,Man City,Everton
4,34,Chelsea,Leicester
4,34,Crystal Palace,Aston Villa
4,34,Bournemouth,Liverpool
4,34,Brighton,Southampton
4,34,Man United,West Ham United
4,34,Brentford,Tottenham
4,34,Wolverhampton,Nottingham Forest
4,35,Leicester,Brighton
4,35,Liverpool,Man City
4,35,Aston Villa,Arsenal
4,35,Everton,Chelsea
4,35,Newcastle United,Crystal Palace
4,35,Tottenham,Wolverhampton
4,35,Nottingham Forest,Fulham
4,35,Ipswich,Brentford
4,35,West Ham United,Bournemouth
4,35,Southampton,Man United
4,36,Arsenal,Nottingham Forest
4,36,Fulham,Ipswich
4,36,Man City,Newcastle United
4,36,Chelsea,Tottenham
4,36,Crystal Palace,Southampton
4,36,Bournemouth,Everton
4,36,Brighton,Aston Villa
4,36,Man United,Liverpool
4,36,West Ham United,Leicester
4,36,Wolverhampton,Brentford
4,37,Leicester,Man United
4,37,Liverpool,Brighton
4,37,Aston Villa,Bournemouth
4,37,Everton,Crystal Palace
4,37,Newcastle United,Chelsea
4,37,Tottenham,Fulham
4,37,Nottingham Forest,Man City
4,37,Ipswich,Wolverhampton
4,37,Brentford,Arsenal
4,37,Southampton,West Ham United
4,38,Arsenal,Wolverhampton
4,38,Fulham,Brentford
4,38,Man City,Ipswich
4,38,Chelsea,Nottingham Forest
4,38,Crystal Palace,Tottenham
4,38,Bournemouth,Newcastle United
4,38,Brighton,Everton
4,38,Man United,Aston Villa
4,38,West Ham United,Liverpool
4,38,Southampton,Leicester
5,34,Arsenal,Ipswich
5,34,Fulham,Newcastle United
5,34,Man City,Everton
5,34,Chelsea,Leicester
5,34,Crystal Palace,Aston Villa
5,34,Bournemouth,Liverpool
5,34,Brighton,Southampton
5,34,Man United,West Ham United
5,34,Brentford,Tottenham
5,34,Wolverhampton,Nottingham Forest
5,35,Leicester,Brighton
5,35,Liverpool,Man City
5,35,Aston Villa,Arsenal
5,35,Everton,Chelsea
5,35,Newcastle United,Crystal Palace
5,35,Tottenham,Wolverhampton
5,35,Nottingham Forest,Fulham
5,35,Ipswich,Brentford
5,35,West Ham United,Bournemouth
5,35,Southampton,Man United
5,36,Arsenal,Nottingham Forest
5,36,Fulham,Ipswich
5,36,Man City,Newcastle United
5,36,Chelsea,Tottenham
5,36,Crystal Palace,Southampton
5,36,Bournemouth,Everton
5,36,Brighton,Aston Villa
5,36,Man United,Liverpool
5,36,West Ham United,Leicester
5,36,Wolverhampton,Brentford
5,37,Leicester,Man United
5,37,Liverpool,Brighton
5,37,Aston Villa,Bournemouth
5,37,Everton,Crystal Palace
5,37,Newcastle United,Chelsea
5,37,Tottenham,Fulham
5,37,Nottingham Forest,Man City
5,37,Ipswich,Wolverhampton
5,37,Brentford,Arsenal
5,37,Southampton,West Ham United
5,38,Arsenal,Wolverhampton
5,38,Fulham,Brentford
5,38,Man City,Ipswich
5,38,Chelsea,Nottingham Forest
5,38,Crystal Palace,Tottenham
5,38,Bournemouth,Newcastle United
5,38,Brighton,Everton
5,38,Man United,Aston Villa
5,38,West Ham United,Liverpool
5,38,Southampton,Leicester
