run,round,team,rating,points,saldo
0,8,Arsenal,1834.68,15,6
0,8,Sparta Praha,1566.55,5,-9
0,8,Sturm Graz,1497.92,2,-16
0,8,Shakhtar Donetsk,1709.93,7,-8
0,8,Fenerbahçe,1642.37,7,-11
0,8,Stuttgart,1535.19,7,-5
0,8,Benfica,1740.64,9,4
0,8,Feyenoord,1686.88,10,-5
0,8,Club Brugge,1702.95,8,-3
0,8,AC Milan,1889.24,17,8
0,8,Stade Brestois,1533.9,8,-10
1,1,Borussia Dortmund,1903,3,3
1,1,Real Madrid,2100.96,3,3
1,1,PSV,1690.25,3,2
1,1,Manchester City,1981.71,0,-1
1,1,Bayern Munich,2051.46,3,3
1,1,Lille,1680.33,3,1
1,1,Inter,1886.65,1,0
1,1,Atletico Madrid,1928,1,0
1,1,PSG,2021.74,3,2
1,1,Celtic,1607.98,0,-1
1,1,Liverpool,1987.77,3,1
1,1,Leipzig,1785.9,0,-1
1,1,Young Boys,1619.67,0,-1
1,1,Barcelona,2084.83,3,2
1,1,Bayer Leverkusen,1872.46,3,2
1,1,Atalanta,1842.23,0,-1
1,1,Sporting CP,1693.61,1,0
1,1,AS Monaco,1612.02,3,1
1,1,Aston Villa,1577.54,0,-2
1,1,Juventus,1943.47,3,2
1,1,PAOK,1658.54,0,-3
1,1,Galatasaray,1606.39,1,0
1,1,Bologna,1565.22,0,-2
1,1,Girona,1558.26,0,-2
1,1,Maccabi Tel Aviv,1658.29,3,1
1,1,Arsenal,1825.17,0,-2
1,1,Sparta Praha,1582,1,0
1,1,Sturm Graz,1536.49,0,-1
1,1,Shakhtar Donetsk,1724.78,3,2
1,1,Fenerbahçe,1647,0,-3
1,1,Stuttgart,1543.35,1,0
1,1,Benfica,1729.75,0,-2
1,1,Feyenoord,1714.1,3,1
1,1,Club Brugge,1716.53,0,-2
1,1,AC Milan,1863.51,3,1
1,1,Stade Brestois,1529.04,0,-3
1,2,Borussia Dortmund,1913.34,6,5
1,2,Real Madrid,2101.85,6,6
1,2,PSV,1688.05,4,2
1,2,Manchester City,1984.09,3,0
1,2,Bayern Munich,2053.08,6,4
1,2,Lille,1675.76,3,-1
1,2,Inter,1894.63,2,0
1,2,Atletico Madrid,1931.48,4,4
1,2,PSG,2023.76,6,5
1,2,Celtic,1607.06,0,-4
1,2,Liverpool,1992.23,4,1
1,2,Leipzig,1771.38,0,-2
1,2,Young Boys,1618.78,0,-4
1,2,Barcelona,2085.75,6,5
1,2,Bayer Leverkusen,1868,4,2
1,2,Atalanta,1844.4,1,-1
1,2,Sporting CP,1691.59,1,-3
1,2,AS Monaco,1618.7,6,4
1,2,Aston Villa,1575.93,0,-3
1,2,Juventus,1948.03,6,4
1,2,PAOK,1658.11,1,-3
1,2,Galatasaray,1602.91,1,-4
1,2,Bologna,1579.74,3,-1
1,2,Girona,1550.28,1,-2
1,2,Maccabi Tel Aviv,1663.06,4,1
1,2,Arsenal,1828.67,1,-2
1,2,Sparta Praha,1579.63,1,-1
1,2,Sturm Graz,1532.56,0,-2
1,2,Shakhtar Donetsk,1725.21,4,2
1,2,Fenerbahçe,1643.5,1,-3
1,2,Stuttgart,1536.67,1,-3
1,2,Benfica,1733.68,3,-1
1,2,Feyenoord,1711.92,4,1
1,2,Club Brugge,1718.73,1,-2
1,2,AC Milan,1853.17,3,-1
1,2,Stade Brestois,1524.26,1,-3
1,3,Borussia Dortmund,1914.91,9,8
1,3,Real Madrid,2102.73,9,12
1,3,PSV,1700.18,7,3
1,3,Manchester City,1985.44,6,3
1,3,Bayern Munich,2056.2,7,4
1,3,Lille,1688.59,6,0
1,3,Inter,1907.56,5,1
1,3,Atletico Madrid,1915.33,4,2
1,3,PSG,2016.91,6,4
1,3,Celtic,1598.02,0,-5
1,3,Liverpool,1989.11,5,1
1,3,Leipzig,1779.61,3,-1
1,3,Young Boys,1605.02,0,-6
1,3,Barcelona,2092.6,9,6
1,3,Bayer Leverkusen,1855.88,4,0
1,3,Atalanta,1856.53,4,1
1,3,Sporting CP,1700.63,4,-2
1,3,AS Monaco,1617.82,6,-2
1,3,Aston Villa,1564.57,0,-4
1,3,Juventus,1935.1,6,3
1,3,PAOK,1649.87,1,-4
1,3,Galatasaray,1612.12,4,-1
1,3,Bologna,1578.39,3,-4
1,3,Girona,1543.53,1,-5
1,3,Maccabi Tel Aviv,1653.97,4,-2
1,3,Arsenal,1837.9,4,0
1,3,Sparta Praha,1590.99,4,0
1,3,Sturm Graz,1546.32,3,0
1,3,Shakhtar Donetsk,1712.39,4,1
1,3,Fenerbahçe,1652.59,4,0
1,3,Stuttgart,1535.1,1,-6
1,3,Benfica,1749.83,6,1
1,3,Feyenoord,1699.79,4,0
1,3,Club Brugge,1725.48,4,1
1,3,AC Milan,1843.94,3,-3
1,3,Stade Brestois,1515.05,1,-6
1,4,Borussia Dortmund,1908.37,9,7
1,4,Real Madrid,2086.19,9,11
1,4,PSV,1693.75,8,3
1,4,Manchester City,1989.8,9,6
1,4,Bayern Munich,2059.53,10,8
1,4,Lille,1673.93,6,-2
1,4,Inter,1921.23,8,2
1,4,Atletico Madrid,1919.93,7,3
1,4,PSG,2023.34,7,4
1,4,Celtic,1590.89,1,-5
1,4,Liverpool,1995.65,8,2
1,4,Leipzig,1796.15,6,0
1,4,Young Boys,1605.56,1,-6
1,4,Barcelona,2078.93,9,5
1,4,Bayer Leverkusen,1860.79,5,0
1,4,Atalanta,1863.65,5,1
1,4,Sporting CP,1687.75,4,-3
1,4,AS Monaco,1612.91,7,-2
1,4,Aston Villa,1579.22,3,-2
1,4,Juventus,1943.96,9,4
1,4,PAOK,1643.97,1,-6
1,4,Galatasaray,1615.44,5,-1
1,4,Bologna,1585.21,6,-2
1,4,Girona,1540.21,2,-5
1,4,Maccabi Tel Aviv,1649.38,4,-3
1,4,Arsenal,1842.86,5,0
1,4,Sparta Praha,1581.29,4,-2
1,4,Sturm Graz,1559.2,6,1
1,4,Shakhtar Donetsk,1708.02,4,-2
1,4,Fenerbahçe,1662.29,7,2
1,4,Stuttgart,1534.57,2,-6
1,4,Benfica,1755.73,9,3
1,4,Feyenoord,1694.82,5,0
1,4,Club Brugge,1722.14,4,-3
1,4,AC Milan,1835.08,3,-4
1,4,Stade Brestois,1508.23,1,-8
1,5,Borussia Dortmund,1915.32,10,7
1,5,Real Madrid,2093,12,17
1,5,PSV,1696.58,9,3
1,5,Manchester City,1995.88,10,6
1,5,Bayern Munich,2069.97,13,9
1,5,Lille,1671.84,6,-8
1,5,Inter,1907.66,8,1
1,5,Atletico Madrid,1913.12,7,-3
1,5,PSG,2012.91,7,3
1,5,Celtic,1583.16,1,-6
1,5,Liverpool,1997.74,11,8
1,5,Leipzig,1790.08,7,0
1,5,Young Boys,1601.89,2,-6
1,5,Barcelona,2080.63,12,8
1,5,Bayer Leverkusen,1849.25,5,-1
1,5,Atalanta,1867.79,8,2
1,5,Sporting CP,1691.41,5,-3
1,5,AS Monaco,1603.47,7,-3
1,5,Aston Villa,1575.08,3,-3
1,5,Juventus,1945.93,12,7
1,5,PAOK,1641.14,2,-6
1,5,Galatasaray,1613.74,5,-4
1,5,Bologna,1578.74,6,-9
1,5,Girona,1535.53,2,-7
1,5,Maccabi Tel Aviv,1643.45,5,-3
1,5,Arsenal,1856.43,8,1
1,5,Sparta Praha,1590.72,7,-1
1,5,Sturm Graz,1552.25,7,1
1,5,Shakhtar Donetsk,1711.4,5,-2
1,5,Fenerbahçe,1668.76,10,9
1,5,Stuttgart,1531.19,3,-6
1,5,Benfica,1767.27,12,4
1,5,Feyenoord,1699.51,8,2
1,5,Club Brugge,1729.88,7,-2
1,5,AC Milan,1841.01,4,-4
1,5,Stade Brestois,1506.26,1,-11
1,6,Borussia Dortmund,1916.85,11,7
1,6,Real Madrid,2097.08,15,20
1,6,PSV,1685.38,9,-1
1,6,Manchester City,1999.32,13,9
1,6,Bayern Munich,2070.7,16,16
1,6,Lille,1668.39,6,-11
1,6,Inter,1903.58,8,-2
1,6,Atletico Madrid,1911.59,8,-3
1,6,PSG,2014.3,10,6
1,6,Celtic,1580.05,2,-6
1,6,Liverpool,2000.16,14,11
1,6,Leipzig,1793.9,10,2
1,6,Young Boys,1599.47,2,-9
1,6,Barcelona,2089,13,8
1,6,Bayer Leverkusen,1853.42,8,2
1,6,Atalanta,1869.49,11,6
1,6,Sporting CP,1704.17,8,-2
1,6,AS Monaco,1614.67,10,1
1,6,Aston Villa,1574.74,4,-3
1,6,Juventus,1927.21,12,6
1,6,PAOK,1631.34,2,-7
1,6,Galatasaray,1612.34,5,-7
1,6,Bologna,1572.5,6,-10
1,6,Girona,1535.87,3,-7
1,6,Maccabi Tel Aviv,1646.55,6,-3
1,6,Arsenal,1858.56,9,1
1,6,Sparta Praha,1586.9,7,-3
1,6,Sturm Graz,1551.52,7,-6
1,6,Shakhtar Donetsk,1703.03,6,-2
1,6,Fenerbahçe,1664.59,10,6
1,6,Stuttgart,1549.91,6,-5
1,6,Benfica,1773.51,15,5
1,6,Feyenoord,1709.3,11,3
1,6,Club Brugge,1727.75,8,-2
1,6,AC Milan,1828.26,4,-5
1,6,Stade Brestois,1504.56,1,-15
1,7,Borussia Dortmund,1927.74,14,9
1,7,Real Madrid,2099.08,18,21
1,7,PSV,1681.88,9,-2
1,7,Manchester City,1988.43,13,7
1,7,Bayern Munich,2072.79,19,17
1,7,Lille,1671.52,7,-11
1,7,Inter,1907.08,11,-1
1,7,Atletico Madrid,1895.27,8,-4
1,7,PSG,2021.25,13,8
1,7,Celtic,1571.37,2,-7
1,7,Liverpool,2002.71,17,16
1,7,Leipzig,1804.79,13,4
1,7,Young Boys,1591.5,3,-9
1,7,Barcelona,2091.62,16,9
1,7,Bayer Leverkusen,1846.48,8,0
1,7,Atalanta,1875.05,12,6
1,7,Sporting CP,1720.49,11,-1
1,7,AS Monaco,1612.12,10,-4
1,7,Aston Villa,1583.42,7,-2
1,7,Juventus,1935.19,13,6
1,7,PAOK,1634.99,3,-7
1,7,Galatasaray,1606.81,5,-8
1,7,Bologna,1571.63,7,-10
1,7,Girona,1533.44,3,-9
1,7,Maccabi Tel Aviv,1644.46,6,-4
1,7,Arsenal,1862.95,12,5
1,7,Sparta Praha,1582.51,7,-7
1,7,Sturm Graz,1552.4,8,-6
1,7,Shakhtar Donetsk,1697.48,7,-2
1,7,Fenerbahçe,1662.58,10,5
1,7,Stuttgart,1546.26,7,-5
1,7,Benfica,1762.62,15,3
1,7,Feyenoord,1706.68,11,2
1,7,Club Brugge,1733.29,11,-1
1,7,AC Milan,1830.69,7,-3
1,7,Stade Brestois,1501.43,2,-15
1,8,Borussia Dortmund,1931.95,15,9
1,8,Real Madrid,2103.58,21,24
1,8,PSV,1687.8,12,-1
1,8,Manchester City,1993.04,16,9
1,8,Bayern Munich,2080.57,20,17
1,8,Lille,1659.81,7,-12
1,8,Inter,1910.34,14,0
1,8,Atletico Madrid,1901.29,11,1
1,8,PSG,2023.73,16,9
1,8,Celtic,1568.11,2,-8
1,8,Liverpool,2003.96,20,19
1,8,Leipzig,1795.33,13,2
1,8,Young Boys,1586.77,3,-12
1,8,Barcelona,2092.11,19,11
1,8,Bayer Leverkusen,1851.2,11,3
1,8,Atalanta,1884.5,15,8
1,8,Sporting CP,1716.28,12,-1
1,8,AS Monaco,1609.13,10,-6
1,8,Aston Villa,1582.18,7,-5
1,8,Juventus,1930.69,13,3
1,8,PAOK,1636.43,4,-7
1,8,Galatasaray,1605.42,6,-8
1,8,Bologna,1582.25,10,-9
1,8,Girona,1532,4,-9
1,8,Maccabi Tel Aviv,1633.84,6,-5
1,8,Arsenal,1865.94,15,7
1,8,Sparta Praha,1576.6,7,-8
1,8,Sturm Graz,1551.1,9,-6
1,8,Shakhtar Donetsk,1691.46,7,-7
1,8,Fenerbahçe,1674.3,13,6
1,8,Stuttgart,1547.56,8,-5
1,8,Benfica,1754.84,16,3
1,8,Feyenoord,1708.07,12,2
1,8,Club Brugge,1730.8,11,-2
1,8,AC Milan,1826.07,7,-5
1,8,Stade Brestois,1500.95,2,-17
2,1,Borussia Dortmund,1903,3,1
2,1,Real Madrid,2100.96,3,3
2,1,PSV,1670.25,0,-3
2,1,Manchester City,2001.71,3,1
2,1,Bayern Munich,2058.54,1,0
2,1,Lille,1669.67,1,0
2,1,Inter,1886.65,1,0
2,1,Atletico Madrid,1928,1,0
2,1,PSG,2021.74,3,3
2,1,Celtic,1627.98,3,2
2,1,Liverpool,1982.23,1,0
2,1,Leipzig,1805.9,3,2
2,1,Young Boys,1630.33,1,0
2,1,Barcelona,2085.17,1,0
